
# Surface 0 of 2 surfaces

# Curve title: "'FES.dat'  u 1:2:3"
# Contour 0, label:      -36
-2.48436  2.544 -36 
-2.49312  2.53874 -36 
-2.50202  2.53356 -36 
-2.51088  2.52856 -36 
-2.51956  2.52384 -36 
-2.52796  2.51946 -36 
-2.53604  2.51546 -36 
-2.54384  2.51185 -36 
-2.55148  2.50859 -36 
-2.55911  2.50564 -36 
-2.5669  2.50294 -36 
-2.57502  2.50044 -36 
-2.58363  2.49811 -36 
-2.59283  2.49593 -36 
-2.60267  2.49391 -36 
-2.61313  2.49207 -36 
-2.62415  2.49046 -36 
-2.63565  2.48912 -36 
-2.64751  2.48811 -36 
-2.65959  2.48746 -36 
-2.67177  2.48721 -36 
-2.68391  2.48736 -36 
-2.69589  2.48792 -36 
-2.70759  2.48886 -36 
-2.7189  2.49015 -36 
-2.72971  2.49175 -36 
-2.73997  2.49362 -36 
-2.74964  2.49573 -36 
-2.75874  2.49805 -36 
-2.76731  2.50058 -36 
-2.77546  2.50332 -36 
-2.78332  2.50631 -36 
-2.79104  2.50959 -36 
-2.79876  2.5132 -36 
-2.8066  2.51718 -36 
-2.81463  2.52155 -36 
-2.82285  2.5263 -36 
-2.83122  2.53137 -36 
-2.83962  2.53668 -36 
-2.84791  2.54213 -36 
-2.85595  2.54762 -36 
-2.86362  2.55308 -36 
-2.87084  2.55848 -36 
-2.87763  2.56384 -36 
-2.88405  2.56924 -36 
-2.89021  2.57477 -36 
-2.89626  2.58054 -36 
-2.90228  2.58661 -36 
-2.90835  2.59299 -36 
-2.91446  2.59963 -36 
-2.92056  2.60645 -36 


# Contour 1, label:      -34
-2.15891 -3.14159 -34 
-2.20544 -3.1067 -34 
-2.23508 -3.08361 -34 
-2.25572 -3.06718 -34 
-2.27309 -3.05314 -34 
-2.28888 -3.04024 -34 
-2.3032 -3.02849 -34 
-2.31605 -3.01789 -34 
-2.32775 -3.00822 -34 
-2.33871 -2.99914 -34 
-2.34924 -2.9904 -34 
